Tool,VM,size,RAM,ECPU,PCPU,seconds
pinpoint, node, 1024, 2.1, 0.05, 27.63, 
pinpoint, node, 1024, 2.12, 0.05, 28.48, 
pinpoint, node, 1024, 2.07, 0.04, 27.45, 
pinpoint, node, 1024, 2.11, 0.05, 28.25, 
pinpoint, node, 1024, 2.07, 0.00999999999999998, 27.14, 
pinpoint, node, 1024, 2.12, 0.04, 28.54, 
pinpoint, node, 1024, 2.06, 0.02, 27.47, 
pinpoint, node, 1024, 2.07, 0.00999999999999998, 27.46, 
pinpoint, node, 1024, 2.08, 0.02, 27.97, 
pinpoint, node, 1024, 2.12, 0.06, 28.7, 
pinpoint, node, 1024, 2.07, 0.04, 27.7, 
pinpoint, node, 1024, 2.1, 0.05, 27.75, 
pinpoint, node, 1024, 2.1, 0.1, 27.95, 
pinpoint, node, 1024, 2.07, 0.04, 28.05, 
pinpoint, node, 1024, 2.06, 0, 28.02, 
pinpoint, node, 2048, 3.73, 0.26, 56.54, 
pinpoint, node, 2048, 3.74, 0.36, 57.71, 
pinpoint, node, 2048, 3.8, 0.72, 56.93, 
pinpoint, node, 2048, 3.74, 0.22, 57.37, 
pinpoint, node, 2048, 3.83, 0.28, 57.22, 
pinpoint, node, 2048, 3.77, 0.33, 57.78, 
pinpoint, node, 2048, 3.75, 0.3, 57.3, 
pinpoint, node, 2048, 3.75, 0.22, 56.84, 
pinpoint, node, 2048, 3.77, 0.25, 57.66, 
pinpoint, node, 2048, 3.77, 0.31, 57.13, 
pinpoint, node, 2048, 3.77, 0.28, 58.74, 
pinpoint, node, 2048, 3.75, 0.39, 57.51, 
pinpoint, node, 2048, 3.74, 0.37, 57.61, 
pinpoint, node, 2048, 3.72, 0.24, 57.65, 
pinpoint, node, 2048, 3.74, 0.45, 57.21, 
pinpoint, node, 4096, 9.87, 3.34, 237.24, 
pinpoint, node, 4096, 9.47, 3.22, 244.79, 
pinpoint, node, 4096, 9.54, 3.62, 251.86, 
pinpoint, node, 4096, 9.33, 3.12, 248.06, 
pinpoint, node, 4096, 8.97, 2.95, 226.36, 
pinpoint, node, 4096, 9.28, 3.42, 248.95, 
pinpoint, node, 4096, 9.11, 4.43, 257.32, 
pinpoint, node, 4096, 8.93, 2.89, 228.85, 
pinpoint, node, 4096, 9.36, 3.72, 257.68, 
pinpoint, node, 4096, 9.97, 2.92, 237.75, 
pinpoint, node, 4096, 9.45, 3.44, 248.91, 
pinpoint, node, 4096, 9.27, 2.68, 220.48, 
pinpoint, node, 4096, 9.03, 2.98, 228.79, 
pinpoint, node, 4096, 9.05, 3.26, 230.58, 
pinpoint, node, 4096, 9.35, 4.2, 257.74, 
pinpoint, bun, 1024, 0.97, 0.24, 17.98, 
pinpoint, bun, 1024, 0.96, 0.27, 17.79, 
pinpoint, bun, 1024, 1, 0.26, 18.27, 
pinpoint, bun, 1024, 0.96, 0.25, 17.8, 
pinpoint, bun, 1024, 0.95, 0.25, 17.81, 
pinpoint, bun, 1024, 0.93, 0.23, 17.59, 
pinpoint, bun, 1024, 0.94, 0.23, 17.58, 
pinpoint, bun, 1024, 0.94, 0.25, 17.69, 
pinpoint, bun, 1024, 0.94, 0.24, 17.62, 
pinpoint, bun, 1024, 0.97, 0.29, 20.46, 
pinpoint, bun, 1024, 0.93, 0.25, 17.45, 
pinpoint, bun, 1024, 0.95, 0.25, 17.63, 
pinpoint, bun, 1024, 0.98, 0.27, 18.92, 
pinpoint, bun, 1024, 0.94, 0.23, 17.76, 
pinpoint, bun, 1024, 0.96, 0.23, 17.84, 
pinpoint, bun, 2048, 1.5, 0.58, 28.02, 
pinpoint, bun, 2048, 1.47, 0.57, 27.38, 
pinpoint, bun, 2048, 1.41, 0.52, 27.28, 
pinpoint, bun, 2048, 1.41, 0.52, 27.31, 
pinpoint, bun, 2048, 1.44, 0.53, 28.1, 
pinpoint, bun, 2048, 1.44, 0.57, 27.39, 
pinpoint, bun, 2048, 1.43, 0.52, 27.56, 
pinpoint, bun, 2048, 1.41, 0.56, 27.37, 
pinpoint, bun, 2048, 1.42, 0.54, 28.03, 
pinpoint, bun, 2048, 1.44, 0.54, 27.4, 
pinpoint, bun, 2048, 1.47, 0.57, 27.76, 
pinpoint, bun, 2048, 1.41, 0.52, 27.34, 
pinpoint, bun, 2048, 1.43, 0.52, 27.78, 
pinpoint, bun, 2048, 1.43, 0.54, 27.38, 
pinpoint, bun, 2048, 1.41, 0.51, 27.29, 
pinpoint, bun, 4096, 3.97, 2.17, 54.9, 
pinpoint, bun, 4096, 3.96, 1.97, 55.66, 
pinpoint, bun, 4096, 3.77, 1.84, 52.31, 
pinpoint, bun, 4096, 3.72, 1.8, 51.77, 
pinpoint, bun, 4096, 3.69, 1.77, 52.69, 
pinpoint, bun, 4096, 3.64, 1.74, 51.53, 
pinpoint, bun, 4096, 3.83, 1.98, 52.87, 
pinpoint, bun, 4096, 4.04, 1.94, 54.11, 
pinpoint, bun, 4096, 3.75, 1.8, 53.28, 
pinpoint, bun, 4096, 3.7, 1.86, 52.57, 
pinpoint, bun, 4096, 3.78, 1.87, 53.04, 
pinpoint, bun, 4096, 3.63, 1.85, 52.78, 
pinpoint, bun, 4096, 3.45, 1.59, 52.05, 
pinpoint, bun, 4096, 3.45, 1.67, 51.25, 
pinpoint, bun, 4096, 3.45, 1.65, 50.94, 
pinpoint, deno, 1024, 2.69, 1, 44.65, 
pinpoint, deno, 1024, 2.85, 1.05, 48.37, 
pinpoint, deno, 1024, 2.61, 0.88, 42.89, 
pinpoint, deno, 1024, 2.66, 0.81, 44.24, 
pinpoint, deno, 1024, 2.62, 0.82, 43.5, 
pinpoint, deno, 1024, 2.64, 0.84, 44, 
pinpoint, deno, 1024, 2.65, 0.78, 43.42, 
pinpoint, deno, 1024, 2.7, 0.87, 44.49, 
pinpoint, deno, 1024, 2.83, 0.96, 47.97, 
pinpoint, deno, 1024, 2.62, 0.71, 44.09, 
pinpoint, deno, 1024, 2.79, 1.05, 47.33, 
pinpoint, deno, 1024, 2.65, 0.74, 44.71, 
pinpoint, deno, 1024, 2.87, 1.08, 48.25, 
pinpoint, deno, 1024, 2.83, 1.44, 47.35, 
pinpoint, deno, 1024, 2.86, 0.94, 49.18, 
pinpoint, deno, 2048, 2.66, 1.36, 62.41, 
pinpoint, deno, 2048, 2.72, 1.24, 60.79, 
pinpoint, deno, 2048, 2.97, 1.02, 63.13, 
pinpoint, deno, 2048, 2.78, 1.47, 64.12, 
pinpoint, deno, 2048, 2.79, 1.13, 61.5, 
pinpoint, deno, 2048, 2.73, 0.94, 62.12, 
pinpoint, deno, 2048, 2.67, 1.61, 64.08, 
pinpoint, deno, 2048, 2.89, 1.05, 62.51, 
pinpoint, deno, 2048, 2.75, 1.28, 63, 
pinpoint, deno, 2048, 2.86, 1.25, 66.19, 
pinpoint, deno, 2048, 2.71, 1.23, 63.7, 
pinpoint, deno, 2048, 2.88, 1.22, 64.11, 
pinpoint, deno, 2048, 2.7, 1.33, 63.72, 
pinpoint, deno, 2048, 2.75, 1.36, 62.8, 
pinpoint, deno, 2048, 2.66, 1.59, 63.52, 
pinpoint, deno, 4096, 2.17, 0.96, 54.92, 
pinpoint, deno, 4096, 2.29, 0.63, 52.04, 
pinpoint, deno, 4096, 2.25, 0.94, 54.63, 
pinpoint, deno, 4096, 2.4, 0.99, 58.33, 
pinpoint, deno, 4096, 2.28, 0.85, 55.47, 
pinpoint, deno, 4096, 2.87, 2.52, 82.61, 
pinpoint, deno, 4096, 2.27, 0.78, 54.06, 
pinpoint, deno, 4096, 2.29, 0.81, 53.98, 
pinpoint, deno, 4096, 2.16, 1.47, 56.35, 
pinpoint, deno, 4096, 2.28, 0.56, 52.01, 
pinpoint, deno, 4096, 2.13, 0.72, 50.97, 
pinpoint, deno, 4096, 2.23, 1.02, 54.5, 
pinpoint, deno, 4096, 2.28, 0.86, 53.65, 
pinpoint, deno, 4096, 2.24, 0.79, 53.69, 
pinpoint, deno, 4096, 2.22, 0.88, 55.18, 
