Platform,size,GPU,PKG,seconds
evostar-zig-bool-ops-nx-base, 512, 7.27, 16.42, 0.32315056
evostar-zig-bool-ops-nx-base, 512, 7.11, 16.56, 0.32578151
evostar-zig-bool-ops-nx-base, 512, 7.19, 16.14, 0.33343307
evostar-zig-bool-ops-nx-base, 512, 7.31, 15.74, 0.33071038
evostar-zig-bool-ops-nx-base, 512, 7.29, 15.87, 0.32791313
evostar-zig-bool-ops-nx-base, 512, 7.24, 15.65, 0.32681253
evostar-zig-bool-ops-nx-base, 512, 7.26, 15.65, 0.32627505
evostar-zig-bool-ops-nx-base, 512, 7.25, 16.95, 0.33163108
evostar-zig-bool-ops-nx-base, 512, 7.20, 16.33, 0.32698292
evostar-zig-bool-ops-nx-base, 512, 7.17, 16.07, 0.33299500
evostar-zig-bool-ops-nx-base, 512, 7.21, 15.88, 0.32532781
evostar-zig-bool-ops-nx-base, 512, 7.30, 15.78, 0.32416625
evostar-zig-bool-ops-nx-base, 512, 7.19, 16.07, 0.33252538
evostar-zig-bool-ops-nx-base, 512, 7.21, 15.69, 0.32555576
evostar-zig-bool-ops-nx-base, 512, 7.16, 15.63, 0.32433748
evostar-zig-bool-ops-nx-base, 1024, 9.23, 21.11, 0.43275723
evostar-zig-bool-ops-nx-base, 1024, 9.32, 20.72, 0.43757579
evostar-zig-bool-ops-nx-base, 1024, 9.20, 21.85, 0.44792801
evostar-zig-bool-ops-nx-base, 1024, 9.32, 24.16, 0.42861524
evostar-zig-bool-ops-nx-base, 1024, 9.35, 21.20, 0.43299442
evostar-zig-bool-ops-nx-base, 1024, 9.27, 20.78, 0.43888742
evostar-zig-bool-ops-nx-base, 1024, 9.31, 20.07, 0.44181051
evostar-zig-bool-ops-nx-base, 1024, 9.22, 20.11, 0.44007752
evostar-zig-bool-ops-nx-base, 1024, 9.20, 20.34, 0.42875930
evostar-zig-bool-ops-nx-base, 1024, 9.20, 20.39, 0.43306206
evostar-zig-bool-ops-nx-base, 1024, 9.30, 20.25, 0.44260015
evostar-zig-bool-ops-nx-base, 1024, 9.35, 20.60, 0.43737436
evostar-zig-bool-ops-nx-base, 1024, 9.32, 21.60, 0.43578392
evostar-zig-bool-ops-nx-base, 1024, 9.31, 20.39, 0.43596156
evostar-zig-bool-ops-nx-base, 1024, 9.24, 20.72, 0.43290098
evostar-zig-bool-ops-nx-base, 2048, 14.31, 33.27, 0.65597142
evostar-zig-bool-ops-nx-base, 2048, 14.41, 32.77, 0.65414115
evostar-zig-bool-ops-nx-base, 2048, 14.54, 32.57, 0.65691949
evostar-zig-bool-ops-nx-base, 2048, 13.32, 30.34, 0.64844532
evostar-zig-bool-ops-nx-base, 2048, 13.26, 30.65, 0.64882170
evostar-zig-bool-ops-nx-base, 2048, 13.30, 30.42, 0.63987463
evostar-zig-bool-ops-nx-base, 2048, 13.29, 30.96, 0.64364687
evostar-zig-bool-ops-nx-base, 2048, 14.43, 32.67, 0.65813910
evostar-zig-bool-ops-nx-base, 2048, 14.39, 32.55, 0.65822507
evostar-zig-bool-ops-nx-base, 2048, 13.26, 32.10, 0.64882944
evostar-zig-bool-ops-nx-base, 2048, 13.37, 30.33, 0.64293792
evostar-zig-bool-ops-nx-base, 2048, 13.37, 36.41, 0.65089321
evostar-zig-bool-ops-nx-base, 2048, 14.38, 32.96, 0.65865737
evostar-zig-bool-ops-nx-base, 2048, 13.48, 30.29, 0.63887286
evostar-zig-bool-ops-nx-base, 2048, 13.45, 30.19, 0.64931142
