VM,size,GPU,PKG,seconds
zig, 512, 32.03, 81.79, 1.50314557
zig, 512, 31.74, 80.49, 1.54952441
zig, 512, 31.95, 82.58, 1.53999314
zig, 512, 33.12, 85.05, 1.56167309
zig, 512, 33.49, 83.53, 1.57554292
zig, 512, 32.30, 81.01, 1.51732922
zig, 512, 32.98, 78.72, 1.52515965
zig, 512, 32.19, 79.58, 1.51757328
zig, 512, 32.09, 83.58, 1.54348514
zig, 512, 31.70, 79.79, 1.54615957
zig, 512, 32.06, 81.81, 1.53506384
zig, 512, 33.00, 84.15, 1.57586724
zig, 512, 32.73, 84.05, 1.51467628
zig, 512, 32.50, 83.74, 1.52899205
zig, 512, 32.91, 82.08, 1.57538240
zig, 1024, 62.67, 158.61, 3.00502969
zig, 1024, 61.72, 157.13, 2.99196693
zig, 1024, 64.98, 167.96, 3.11394663
zig, 1024, 62.79, 152.86, 3.05528010
zig, 1024, 63.30, 150.18, 3.06016056
zig, 1024, 62.64, 162.76, 3.04127996
zig, 1024, 63.66, 163.16, 3.03951547
zig, 1024, 64.83, 174.24, 3.12058513
zig, 1024, 60.89, 156.35, 2.94935024
zig, 1024, 63.28, 151.52, 3.04074583
zig, 1024, 61.60, 152.55, 2.99809839
zig, 1024, 62.91, 164.05, 3.04906246
zig, 1024, 61.45, 151.14, 2.97864511
zig, 1024, 62.92, 156.43, 3.04495377
zig, 1024, 63.29, 158.54, 3.02327012
zig, 2048, 129.64, 324.91, 5.94121443
zig, 2048, 126.01, 346.01, 6.00341082
zig, 2048, 161.17, 393.82, 6.06245878
zig, 2048, 132.05, 379.99, 6.01310018
zig, 2048, 128.12, 348.96, 6.11072312
zig, 2048, 124.87, 311.87, 6.00296623
zig, 2048, 137.58, 353.93, 5.99283244
zig, 2048, 145.51, 366.40, 5.95848291
zig, 2048, 126.81, 352.52, 5.97369359
zig, 2048, 127.23, 368.92, 6.01147962
zig, 2048, 138.02, 389.71, 6.08965713
zig, 2048, 138.28, 394.72, 6.06719995
zig, 2048, 128.86, 383.26, 6.07195614
zig, 2048, 132.73, 417.18, 5.99039577
zig, 2048, 127.50, 327.94, 5.88234941
